StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2022-11-05	2022-11-05	1_EN#69-0630	11052022	1	1	07:10:26	2022-11-05 07:10:26	07:43:59	CRF	WT	Day3	EN#69
2022-11-05	2022-11-05	1_EN#70-0630	11052022	1	4	07:10:46	2022-11-05 07:10:46	07:39:35	CRF	WT	Day3	EN#70
2022-11-05	2022-11-05	2_EN#82-0824	11052022	2	4	07:44:09	2022-11-05 07:44:09	09:17:04	CRF	WT	Day3	EN#82
2022-11-05	2022-11-05	2_EN#48-0710	11052022	2	1	07:51:21	2022-11-05 07:51:21	08:36:22	CRF	WT	Day3	EN#48
2022-11-05	2022-11-05	3_EN#52-0710	11052022	3	3	08:05:28	2022-11-05 08:05:28	09:31:00	CRF	WT	Day3	EN#52
2022-11-05	2022-11-05	3_EN#47-0710	11052022	3	2	08:14:24	2022-11-05 08:14:24	08:52:46	CRF	WT	Day3	EN#47
2022-11-05	2022-11-05	4_EN#70-0816	11052022	4	3	09:35:12	2022-11-05 09:35:12	10:12:29	CRF	WT	Day3	EN#70
2022-11-05	2022-11-05	4_EN#47-0802	11052022	4	1	10:11:23	2022-11-05 10:11:23	11:43:39	CRF	WT	Day3	EN#47
2022-11-05	2022-11-05	5_EN#68-0816	11052022	5	4	10:49:30	2022-11-05 10:49:30	11:23:01	CRF	WT	Day3	EN#68
2022-11-05	2022-11-05	6_EN#60-0823	11052022	6	2	11:30:24	2022-11-05 11:30:24	11:53:29	CRF	WT	Day3	EN#60
